"Phecode","No. Cases with P","No. Controls with P","Odds Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",26,15,1.73467020551006,0.117003967868561,0.884739415454189,3.52462718182847,"Intestinal infection"
"008.5",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Bacterial enteritis"
"008.51",0,0,0,1,0,Inf,"Intestinal e.coli"
"008.52",13,1,13.0139917578019,0.00182663958679073,1.95368011715086,551.635998452922,"Intestinal infection due to C. difficile"
"008.6",20,7,2.85989305758977,0.0190999068116368,1.161111933714,8.00677529608708,"Viral Enteritis"
"008.7",1,0,Inf,1,0.0256406640625,Inf,"Intestinal protozoal diseases"
"010",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Tuberculosis"
"031",0,0,0,1,0,Inf,"Diseases due to mycobacteria"
"031.1",0,0,0,1,0,Inf,"Leprosy"
"038",50,11,4.55787309335236,4.46567511826818e-07,2.34090083453465,9.71379711667175,"Septicemia"
"038.1",7,1,7.00256823481139,0.0702729523356312,0.899457616404829,315.193616186098,"Gram negative septicemia"
"038.2",12,0,Inf,0.000487116890931194,2.78026788495404,Inf,"Gram positive septicemia"
"038.3",30,2,15.0323402477714,2.42971805572709e-07,3.8119153039912,130.048479166011,"Bacteremia"
"041",34,15,2.26986051385595,0.00933740669389585,1.20288518494656,4.48697128566475,"Bacterial infection NOS"
"041.1",8,1,8.00353751058315,0.0390319940085006,1.0728191801947,354.62157097064,"Staphylococcus infections"
"041.11",6,3,2.00037453783407,0.50774129875555,0.427106754365569,12.3642235505718,"Methicillin sensitive Staphylococcus aureus"
"041.12",20,8,2.50223262107526,0.0356060635979311,1.05523291127225,6.57111805708224,"Methicillin resistant Staphylococcus aureus"
"041.2",15,8,1.87589747467375,0.209849348763229,0.746310533847704,5.110564748259,"Streptococcus infection"
"041.21",1,0,Inf,1,0.0256406640625,Inf,"Rheumatic fever / chorea"
"041.4",6,0,Inf,0.0312330519201888,1.17768859146603,Inf,"E. coli"
"041.8",2,2,1,1,0.0724972999730408,13.7936171467333,"H. pylori"
"041.9",7,0,Inf,0.0156131372022007,1.44168304781675,Inf,"Drug-resistant infection"
"053",4,4,1,1,0.186203523423341,5.3704676561166,"Herpes zoster"
"053.1",0,1,0,1,0,39.0005499686929,"Herpes zoster with nervous system complications"
"054",55,16,3.44675011133817,3.65190401181505e-06,1.94543869159683,6.44825305120106,"Herpes simplex"
"070",24,1,24.0397052783244,1.53554896289885e-06,3.91874670546083,984.270666831031,"Viral hepatitis"
"070.1",0,0,0,1,0,Inf,"Viral hepatitis A"
"070.2",6,1,6.00172959797013,0.124952540228117,0.72801947933814,275.757453177678,"Viral hepatitis B"
"070.3",35,2,17.542980046546,1.00499198083442e-08,4.50543160408076,150.44329180968,"Viral hepatitis C"
"070.4",5,1,5.00101445510208,0.218699148405338,0.559547202411505,236.313112248479,"Chronic hepatitis"
"070.9",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Hepatitis NOS"
"071",10,3,3.33522767082828,0.0922094126736094,0.85842363852428,18.8602385625561,"Human immunodeficiency virus"
"071.1",24,10,2.40249826609015,0.0242204555315193,1.10680876360692,5.63096690499629,"HIV infection, symptomatic"
"078",296,330,0.894720012845213,0.182117687192009,0.760777310194849,1.05188008361546,"Viral warts & HPV"
"079",169,136,1.24563677579956,0.0652290806433894,0.986702079693856,1.57490268165168,"Viral infection"
"079.1",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Varicella infection"
"079.2",57,33,1.73023856260997,0.0147054669775637,1.10699007099272,2.74472673729591,"Infectious mononucleosis"
"079.9",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Viremia, NOS"
"080",7,8,0.874941496039325,1,0.269987803100289,2.76192601353357,"Postoperative infection"
"081",11,2,5.5031480982256,0.0224306477389857,1.20075146929385,51.0903629954568,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,0,1,0,Inf,"Graft-versus-host disease"
"081.11",0,0,0,1,0,Inf,"Acute graft-versus-host disease"
"081.12",0,0,0,1,0,Inf,"Chronic graft-versus-host disease"
"090",14,7,2.000953838149,0.18907868286499,0.755499696228781,5.85917139725904,"Sexually transmitted infections"
"090.2",9,1,9.00464251268305,0.0214621330590601,1.24746877010085,394.041276850179,"Gonococcal infections"
"090.3",8,2,4.00128473900178,0.109311437806262,0.798367660292035,38.6932368444139,"Venereal diseases due to Chlamydia trachomatis"
"1000",60,26,2.31345659181941,0.000310368973671957,1.43657800418094,3.82205482375732,"Burns"
"1001",44,14,3.14981566132758,9.88828552586987e-05,1.69309885741823,6.22525953007683,"Foreign body injury"
"1002",165,38,4.3819840668433,3.44030935459278e-20,3.06150674393729,6.41638996631117,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,0,1,0,Inf,"Sudden death"
"1004",46,3,15.3829797424062,6.75576862477609e-11,4.94232689202169,77.3160997140032,"Symptoms involving emotional state"
"1005",68,12,5.68928261037087,1.13592790092272e-10,3.05329641410809,11.5544930598205,"Other symptoms"
"1006",9,4,2.25088985514158,0.266732067211053,0.627998754480584,10.0051443060092,"Crushing injury"
"1007",11,7,1.57184915796772,0.480537458428656,0.556264995664722,4.78307053636908,"Injury to blood vessels"
"1008",73,12,6.10985815682979,7.56807028142187e-12,3.29302716143643,12.3696615351993,"Internal injury to organs"
"1009",806,365,2.28294652529311,2.4915740612128e-40,2.00989437710469,2.59675393842467,"Injury, NOS"
"1010",3934,3348,1.2446079842148,1.34581675739516e-15,1.17918906017817,1.31372315839539,"Other tests"
"1010.1",1,1,1,1,0.0127457840596285,78.4573154010539,"nan"
"1011",19,9,2.11257424269074,0.0869994578418175,0.910414310163859,5.30374137951203,"Complications of medical procedures NOS"
"1012",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Late effect"
"1013",23,9,2.55820476658008,0.0199910491449414,1.13977727244926,6.28346776990874,"Asphyxia and hypoxemia"
"1014",6,5,1.20007727838842,1,0.305044885453678,4.97207533346465,"Effects of heat, cold & air pressure"
"1015",67,8,8.41036711065491,9.48865968423265e-13,4.02995322087234,20.2761197722115,"Effects of other external causes"
"1019",3075,2907,1.07429683574765,0.0147221565356397,1.01409922413033,1.13812740207307,"Other causes of morbidity & mortality"
"110",0,0,0,1,0,Inf,"Dermatophytosis / Dermatomycosis"
"110.1",2,9,0.222131389350849,0.0653772524834376,0.0233730221533878,1.07341551755384,"Dermatophytosis"
"110.11",32,24,1.33408820748411,0.3491919104948,0.761043039939717,2.36832933740551,"Dermatophytosis of nail"
"110.12",19,10,1.90118416587135,0.135840854200834,0.840751818229902,4.57937452388898,"Althete's foot"
"110.13",17,5,3.4024807622404,0.0168581078220786,1.20464405649093,11.796905779033,"Dermatophytosis of the body"
"110.2",20,12,1.66759183557672,0.215060912008493,0.776057435373198,3.74276824051177,"Dermatomycoses"
"1100",0,1,0,1,0,39.0005499686929,"x"
"112",44,26,1.69447539944214,0.0411356384347341,1.01990469737264,2.86835897683271,"Candidiasis"
"112.3",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Candidiasis of skin and nails"
"117",8,2,4.00128473900178,0.109311437806262,0.798367660292035,38.6932368444139,"Mycoses"
"117.1",0,0,0,1,0,Inf,"Histoplasmosis"
"117.2",0,0,0,1,0,Inf,"Coccidioidomycosis"
"117.3",0,0,0,1,0,Inf,"Blastomycotic infection"
"117.4",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Aspergillosis"
"130",0,0,0,1,0,Inf,"Spirochetal infection"
"130.1",38,11,3.46083123912154,0.000140130571341141,1.73286453537154,7.51061739233562,"Lyme disease"
"131",3,1,3.00050806357343,0.624972878659094,0.240879058689211,157.400221419387,"Protozoan infection"
"132",9,4,2.25088985514158,0.266732067211053,0.627998754480584,10.0051443060092,"Infestation"
"132.1",6,0,Inf,0.0312330519201888,1.17768859146603,Inf,"Pediculosis & phthirus infestation"
"133",8,2,4.00128473900178,0.109311437806262,0.798367660292035,38.6932368444139,"Arthropod-borne diseases"
"134",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Helminthiases"
"134.1",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Intestinal helminthiases"
"136",11,3,3.6683262071416,0.0573111952145358,0.968836351214362,20.4827547506664,"Other infectious diseases"
"145",0,0,0,1,0,Inf,"Cancer of mouth"
"145.1",0,0,0,1,0,Inf,"Cancer of lip"
"145.2",0,0,0,1,0,Inf,"Cancer of tongue"
"145.3",1,0,Inf,1,0.0256406640625,Inf,"Cancer of major salivary glands"
"145.4",0,0,0,1,0,Inf,"Cancer of the gums"
"145.5",0,0,0,1,0,Inf,"Cancer of the mouth floor"
"149",0,0,0,1,0,Inf,"Cancer of the upper aerodigestive tract"
"149.1",0,0,0,1,0,Inf,"Cancer of oropharynx"
"149.2",0,0,0,1,0,Inf,"Cancer of nasopharynx"
"149.3",0,0,0,1,0,Inf,"Cancer of hypopharynx"
"149.4",0,0,0,1,0,Inf,"Cancer of larynx"
