"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Odds Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",14,0,Inf,0.000120939809533393,3.32365588019566,Inf,"Intestinal infection"
"008.5",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Bacterial enteritis"
"008.51",0,0,0,1,0,Inf,"Intestinal e.coli"
"008.52",7,1,7.0074227461396,0.0702008302019096,0.899732450917742,315.483448433818,"Intestinal infection due to C. difficile"
"008.6",14,2,7.01603193210593,0.00415217124711677,1.6100420231417,63.6942310270721,"Viral Enteritis"
"008.7",1,0,Inf,1,0.0256406640625001,Inf,"Intestinal protozoal diseases"
"010",1,0,Inf,1,0.0256406640625001,Inf,"Tuberculosis"
"031",0,0,0,1,0,Inf,"Diseases due to mycobacteria"
"031.1",0,0,0,1,0,Inf,"Leprosy"
"038",25,4,6.27588126209201,0.000101475342212237,2.1648876001949,24.831446011732,"Septicemia"
"038.1",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Gram negative septicemia"
"038.2",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Gram positive septicemia"
"038.3",10,0,Inf,0.00194416298471039,2.24437056176923,Inf,"Bacteremia"
"041",18,7,2.57712828274416,0.0430221346249826,1.02590742249932,7.30645900870353,"Bacterial infection NOS"
"041.1",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Staphylococcus infections"
"041.11",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Methicillin sensitive Staphylococcus aureus"
"041.12",7,4,1.75096504739267,0.548597629494097,0.444802021505915,8.16211199059912,"Methicillin resistant Staphylococcus aureus"
"041.2",8,3,2.66928967960989,0.226299157311625,0.640168948329306,15.6305017429606,"Streptococcus infection"
"041.21",0,0,0,1,0,Inf,"Rheumatic fever / chorea"
"041.4",5,0,Inf,0.0624361886808128,0.916714189106132,Inf,"E. coli"
"041.8",0,2,0,0.499948943122639,0,5.32439824265389,"H. pylori"
"041.9",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Drug-resistant infection"
"053",1,2,0.499934741692495,1,0.00847723359829884,9.60667792582765,"Herpes zoster"
"053.1",0,0,0,1,0,Inf,"Herpes zoster with nervous system complications"
"054",42,9,4.69752167897127,3.20750748001195e-06,2.25086049690872,10.98998021943,"Herpes simplex"
"070",11,0,Inf,0.000971087950355647,2.5136754795714,Inf,"Viral hepatitis"
"070.1",0,0,0,1,0,Inf,"Viral hepatitis A"
"070.2",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Viral hepatitis B"
"070.3",14,0,Inf,0.000120939809533393,3.32365588019566,Inf,"Viral hepatitis C"
"070.4",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Chronic hepatitis"
"070.9",1,0,Inf,1,0.0256406640625001,Inf,"Hepatitis NOS"
"071",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Human immunodeficiency virus"
"071.1",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"HIV infection, symptomatic"
"078",106,118,0.896065535530702,0.457239354498408,0.68054402131674,1.17860949597833,"Viral warts & HPV"
"079",92,64,1.4458153495909,0.0290048872871167,1.03676310095114,2.02677885101857,"Viral infection"
"079.1",0,0,0,1,0,Inf,"Varicella infection"
"079.2",33,15,2.207960488,0.0130616348619385,1.164517753276,4.38086123698265,"Infectious mononucleosis"
"079.9",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Viremia, NOS"
"080",2,5,0.399767695272721,0.452957418280467,0.0380380525726379,2.4434066998943,"Postoperative infection"
"081",6,0,Inf,0.0312021488432461,1.17810890620027,Inf,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,0,1,0,Inf,"Graft-versus-host disease"
"081.11",0,0,0,1,0,Inf,"Acute graft-versus-host disease"
"081.12",0,0,0,1,0,Inf,"Chronic graft-versus-host disease"
"090",5,1,5.00321402927086,0.218606387868646,0.559605785796566,236.468153045554,"Sexually transmitted infections"
"090.2",5,1,5.00321402927086,0.218606387868646,0.559605785796566,236.468153045554,"Gonococcal infections"
"090.3",8,1,8.01011518070053,0.0389763723291088,1.07326433661031,354.994382293303,"Venereal diseases due to Chlamydia trachomatis"
"1000",24,4,6.02360495458161,0.000176464949002887,2.06735588977009,23.9036034811562,"Burns"
"1001",15,3,5.01140856814252,0.00748549148475523,1.41644861377518,27.023490650993,"Foreign body injury"
"1002",68,19,3.61447051313866,1.09232378787169e-07,2.14392904389333,6.37778205609709,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,0,1,0,Inf,"Sudden death"
"1004",16,1,16.0488722013159,0.000271702863775191,2.4909573700702,671.150616016803,"Symptoms involving emotional state"
"1005",30,7,4.30515004538005,0.000186076435110455,1.85081491739948,11.6239013362377,"Other symptoms"
"1006",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Crushing injury"
"1007",2,3,0.666561214608148,1,0.0556703789930371,5.82149951721867,"Injury to blood vessels"
"1008",13,1,13.0332080714775,0.00181860390904002,1.95564197995567,552.579409139531,"Internal injury to organs"
"1009",258,111,2.39778127095332,4.18161282572884e-15,1.90487020786419,3.03457975538697,"Injury, NOS"
"1010",1885,1638,1.24512858778565,2.20627675880031e-07,1.14534305029898,1.3537395910427,"Other tests"
"1010.1",1,1,1,1,0.0127441265657664,78.4675195149288,"nan"
"1011",8,4,2.00148851336497,0.387398976280478,0.53578714961547,9.08906600335747,"Complications of medical procedures NOS"
"1012",1,1,1,1,0.0127441265657664,78.4675195149288,"Late effect"
"1013",10,3,3.33807230775825,0.0920712668458913,0.858712596769343,18.8836652906563,"Asphyxia and hypoxemia"
"1014",1,0,Inf,1,0.0256406640625001,Inf,"Effects of heat, cold & air pressure"
"1015",47,3,15.8087669854853,3.36429861611158e-11,5.08211578755437,79.4244318094962,"Effects of other external causes"
"1019",1157,1064,1.11443254580155,0.0264028442430305,1.01263796926498,1.22652893965713,"Other causes of morbidity & mortality"
"110",0,0,0,1,0,Inf,"Dermatophytosis / Dermatomycosis"
"110.1",1,1,1,1,0.0127441265657664,78.4675195149288,"Dermatophytosis"
"110.11",11,15,0.732758847563881,0.556667197699949,0.304103768695552,1.70932619069719,"Dermatophytosis of nail"
"110.12",7,4,1.75096504739267,0.548597629494097,0.444802021505915,8.16211199059912,"Althete's foot"
"110.13",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Dermatophytosis of the body"
"110.2",4,1,4.00168320033376,0.374872338251567,0.395844813412059,196.963883860952,"Dermatomycoses"
"1100",0,0,0,1,0,Inf,"x"
"112",35,23,1.52542151946753,0.146804143694553,0.874757216557329,2.70832059542837,"Candidiasis"
"112.3",1,0,Inf,1,0.0256406640625001,Inf,"Candidiasis of skin and nails"
"117",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Mycoses"
"117.1",0,0,0,1,0,Inf,"Histoplasmosis"
"117.2",0,0,0,1,0,Inf,"Coccidioidomycosis"
"117.3",0,0,0,1,0,Inf,"Blastomycotic infection"
"117.4",0,0,0,1,0,Inf,"Aspergillosis"
"130",0,0,0,1,0,Inf,"Spirochetal infection"
"130.1",8,7,1.14307454936199,1,0.361909155295248,3.70633765463828,"Lyme disease"
"131",3,1,3.0011010073282,0.624923402950941,0.240865842160766,157.462045135554,"Protozoan infection"
"132",0,1,0,1,0,39.0005499686929,"Infestation"
"132.1",6,0,Inf,0.0312021488432461,1.17810890620027,Inf,"Pediculosis & phthirus infestation"
"133",3,1,3.0011010073282,0.624923402950941,0.240865842160766,157.462045135554,"Arthropod-borne diseases"
"134",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Helminthiases"
"134.1",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Intestinal helminthiases"
"136",4,3,1.33356245623552,1,0.22548098068058,9.10689006669547,"Other infectious diseases"
"145",0,0,0,1,0,Inf,"Cancer of mouth"
"145.1",0,0,0,1,0,Inf,"Cancer of lip"
"145.2",0,0,0,1,0,Inf,"Cancer of tongue"
"145.3",0,0,0,1,0,Inf,"Cancer of major salivary glands"
"145.4",0,0,0,1,0,Inf,"Cancer of the gums"
"145.5",0,0,0,1,0,Inf,"Cancer of the mouth floor"
"149",0,0,0,1,0,Inf,"Cancer of the upper aerodigestive tract"
"149.1",0,0,0,1,0,Inf,"Cancer of oropharynx"
"149.2",0,0,0,1,0,Inf,"Cancer of nasopharynx"
"149.3",0,0,0,1,0,Inf,"Cancer of hypopharynx"
"149.4",0,0,0,1,0,Inf,"Cancer of larynx"
"149.5",0,0,0,1,0,Inf,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",0,0,0,1,0,Inf,"Cancer of of nasal cavities"
"150",0,0,0,1,0,Inf,"Esophageal cancer"
"151",0,0,0,1,0,Inf,"Stomach cancer"
"153",0,0,0,1,0,Inf,"Colorectal cancer"
"153.2",1,0,Inf,1,0.0256406640625001,Inf,"Colon cancer"
"153.3",0,0,0,1,0,Inf,"Cancer of the lower GI tract"
"155",0,0,0,1,0,Inf,"Hepatic cancer"
"155.1",0,0,0,1,0,Inf,"Hepatic cancer, primary"
"157",0,0,0,1,0,Inf,"Pancreatic cancer"
"158",1,1,1,1,0.0127441265657664,78.4675195149288,"Neoplasm of unspecified nature of digestive system"
"159",0,0,0,1,0,Inf,"Cancer of the digestive organs and peritoneum"
"159.2",0,0,0,1,0,Inf,"Malignant neoplasm of small intestine"
"159.3",0,0,0,1,0,Inf,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"159.4",0,0,0,1,0,Inf,"Malignant neoplasm of retroperitoneum and peritoneum"
"164",0,0,0,1,0,Inf,"Cancer of intrathoracic organs"
"165",0,0,0,1,0,Inf,"Cancer within the respiratory system"
"165.1",0,0,0,1,0,Inf,"Lung cancer"
"170",0,0,0,1,0,Inf,"Cancer of bone & connective tissue"
"170.1",1,0,Inf,1,0.0256406640625001,Inf,"Bone cancer"
"170.2",0,0,0,1,0,Inf,"Cancer of connective tissue"
"172",0,0,0,1,0,Inf,"Skin cancer"
"172.1",0,0,0,1,0,Inf,"Melanoma"
"172.11",0,1,0,1,0,39.0005499686929,"Melanomas of skin"
"172.2",0,1,0,1,0,39.0005499686929,"Non-melanoma skin cancer"
"172.21",1,0,Inf,1,0.0256406640625001,Inf,"Basal cell carcinoma (new)"
"172.22",0,0,0,1,0,Inf,"Squamous cell carcinoma"
"172.3",0,0,0,1,0,Inf,"Carcinoma in situ of skin"
"173",13,22,0.589855003439866,0.174692334068964,0.27263044045224,1.22545300181699,"Skin neoplasm of uncertain behavior"
"174",0,0,0,1,0,Inf,"Breast cancer"
"174.1",0,0,0,1,0,Inf,"Breast cancer, including in situ"
"174.11",0,0,0,1,0,Inf,"Breast cancer"
"174.2",0,0,0,1,0,Inf,"Breast cancer [male]"
"174.3",0,1,0,1,0,39.0005499686929,"Neoplasm of uncertain behavior of breast"
"175",6,2,3.00232616356242,0.288861412209944,0.536486640863501,30.4312797060659,"Acquired absence of breast"
"180",0,0,0,1,0,Inf,"Cervical cancer and dysplasia"
"180.1",1,0,Inf,1,0.0256406640625001,Inf,"Cervical cancer"
"180.3",43,27,1.59775722451784,0.0712226330171329,0.963296786948274,2.69382374517721,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"182",0,0,0,1,0,Inf,"Uterine cancer"
"184",1,0,Inf,1,0.0256406640625001,Inf,"Cancer of other female genital organs"
"184.1",0,0,0,1,0,Inf,"Ovarian cancer"
"184.11",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Malignant neoplasm of ovary"
"184.2",0,0,0,1,0,Inf,"Cancer of other female genital organs"
"185",0,0,0,1,0,Inf,"Prostate cancer"
"187",0,0,0,1,0,Inf,"Cancer of other male genital organs"
"187.1",0,0,0,1,0,Inf,"Malignant neoplasm of male genital organ"
"187.2",0,0,0,1,0,Inf,"Malignant neoplasm of testis"
"187.8",0,0,0,1,0,Inf,"Neoplasm of uncertain behavior of male genital organs"
"189",0,0,0,1,0,Inf,"Cancer of kidney and urinary organs"
"189.1",0,0,0,1,0,Inf,"Cancer of kidney and renal pelvis"
"189.11",1,0,Inf,1,0.0256406640625001,Inf,"Renal cell carcinoma"
"189.12",0,0,0,1,0,Inf,"Malignant neoplasm of renal pelvis"
"189.2",0,0,0,1,0,Inf,"Bladder cancer and neoplasms"
"189.21",0,0,0,1,0,Inf,"Bladder cancer"
"189.4",0,0,0,1,0,Inf,"Malignant neoplasm of kidney and other urinary organs"
"190",0,0,0,1,0,Inf,"Cancer of eye"
"191",6,2,3.00232616356242,0.288861412209944,0.536486640863501,30.4312797060659,"Malignant neoplasm of brain and nervous system"
"191.1",0,1,0,1,0,39.0005499686929,"Cancer of brain and nervous system"
"191.11",7,0,Inf,0.0155915110331341,1.44235736046564,Inf,"Brain cancer"
"193",3,1,3.0011010073282,0.624923402950941,0.240865842160766,157.462045135554,"Thyroid cancer"
"194",0,0,0,1,0,Inf,"Cancer of other endocrine glands"
"195",1,0,Inf,1,0.0256406640625001,Inf,"Cancer, suspected or other"
"195.1",0,0,0,1,0,Inf,"Malignant neoplasm, other"
"195.3",0,0,0,1,0,Inf,"Malignant neoplasm of head, face, and neck"
"196",1,0,Inf,1,0.0256406640625001,Inf,"Radiotherapy"
"197",7,1,7.0074227461396,0.0702008302019096,0.899732450917742,315.483448433818,"Chemotherapy"
"198",0,0,0,1,0,Inf,"Secondary malignant neoplasm"
"198.1",0,0,0,1,0,Inf,"Secondary malignancy of lymph nodes"
"198.2",0,0,0,1,0,Inf,"Secondary malignancy of lung"
"198.3",0,0,0,1,0,Inf,"Secondary malignant neoplasm of digestive systems"
"198.4",0,0,0,1,0,Inf,"Secondary malignant neoplasm of liver"
"198.5",0,0,0,1,0,Inf,"Secondary malignancy of brain/spine"
"198.6",0,0,0,1,0,Inf,"Secondary malignancy of bone"
"198.7",0,0,0,1,0,Inf,"Secondary malignant neoplasm of skin"
"199",7,1,7.0074227461396,0.0702008302019096,0.899732450917742,315.483448433818,"Neoplasm of uncertain behavior"
"199.4",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Neurofibromatosis"
"200",1,2,0.499934741692495,1,0.00847723359829884,9.60667792582765,"Myeloproliferative disease"
"200.1",0,0,0,1,0,Inf,"Polycythemia vera"
"201",0,3,0,0.249923414683958,0,2.41967620698739,"Hodgkin's disease"
"202",0,0,0,1,0,Inf,"Cancer of other lymphoid, histiocytic tissue"
"202.2",0,1,0,1,0,39.0005499686929,"Non-Hodgkins lymphoma"
"202.21",0,0,0,1,0,Inf,"Nodular lymphoma"
"202.22",0,0,0,1,0,Inf,"Reticulosarcoma"
"202.23",0,0,0,1,0,Inf,"Lymphosarcoma"
"202.24",0,0,0,1,0,Inf,"Large cell lymphoma"
"204",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Leukemia"
"204.1",1,0,Inf,1,0.0256406640625001,Inf,"Lymphoid leukemia"
"204.11",5,1,5.00321402927086,0.218606387868646,0.559605785796566,236.468153045554,"Lymphoid leukemia, acute"
"204.12",1,0,Inf,1,0.0256406640625001,Inf,"Chronic lymphoid leukemia"
"204.2",0,0,0,1,0,Inf,"Myeloid leukemia"
"204.21",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Myeloid leukemia, acute"
"204.22",0,0,0,1,0,Inf,"Myeloid leukemia, chronic"
"204.3",0,0,0,1,0,Inf,"Monocytic leukemia"
"204.4",0,0,0,1,0,Inf,"Multiple myeloma"
"208",3,3,1,1,0.133857924580655,7.47060738564985,"Benign neoplasm of colon"
"209",0,0,0,1,0,Inf,"Neuroendocrine tumors"
"210",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Benign neoplasm of lip, oral cavity, and pharynx"
"211",4,1,4.00168320033376,0.374872338251567,0.395844813412059,196.963883860952,"Benign neoplasm of other parts of digestive system"
"212",1,0,Inf,1,0.0256406640625001,Inf,"Benign neoplasm of respiratory and intrathoracic organs"
"213",3,3,1,1,0.133857924580655,7.47060738564985,"Benign neoplasm of bone and articular cartilage"
"214",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Lipoma"
