"","Phecode","No. Cases with P","No. Controls with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"1","008",28,0,233140740.485115,0.994505427114545,0,Inf,"Intestinal infection"
"2","008.5",6,0,223013370.078593,0.997459880941853,0,Inf,"Bacterial enteritis"
"3","008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"4","008.52",196,15,13.2284411703228,5.46524968379601e-22,7.82469732517166,22.3640159516143,"Intestinal infection due to C. difficile"
"5","008.6",3,1,3.58126655838854,0.269816122629452,0.371518865032251,34.5217198085453,"Viral Enteritis"
"6","008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"7","010",6,1,6.10338195540847,0.094019104344513,0.734708867495619,50.7020847871117,"Tuberculosis"
"8","031",3,3,1.01807549508626,0.9824973120374,0.205452772705462,5.04484656033842,"Diseases due to mycobacteria"
"9","031.1",0,0,NA,NA,NA,NA,"Leprosy"
"10","038",579,24,25.9990635484161,4.25355658675478e-55,17.2811982272053,39.1148401000603,"Septicemia"
"11","038.1",67,5,14.0047951432978,1.25873036215329e-08,5.64341795002654,34.7545208847798,"Gram negative septicemia"
"12","038.2",64,1,65.9143665117258,3.24112905872999e-05,9.14357094395369,475.164871500791,"Gram positive septicemia"
"13","038.3",183,9,20.9191153303697,5.34990419566558e-19,10.7124302538281,40.8506170715957,"Bacteremia"
"14","041",144,14,10.8527285385857,1.67583404295477e-17,6.26847041004786,18.7895465763765,"Bacterial infection NOS"
"15","041.1",20,0,223967325.181213,0.995361186323049,0,Inf,"Staphylococcus infections"
"16","041.11",31,5,6.52931769197751,9.97228674719937e-05,2.53765612634881,16.7997503996373,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",95,5,19.5944659990193,8.93388138233833e-11,7.97167426092575,48.1634202828222,"Methicillin resistant Staphylococcus aureus"
"18","041.2",34,1,34.5074253576774,0.000482772124522791,4.72349767336342,252.093361140111,"Streptococcus infection"
"19","041.21",0,0,NA,NA,NA,NA,"Rheumatic fever / chorea"
"20","041.4",65,2,34.572903230362,8.02415556064997e-07,8.46429094133068,141.215093628157,"E. coli"
"21","041.8",1,3,0.34346436274125,0.35478767518919,0.0357137021213318,3.30315149273733,"H. pylori"
"22","041.9",24,0,219804821.589725,0.994922167729525,0,Inf,"Drug-resistant infection"
"23","053",59,9,6.75986179090289,9.38713762966649e-08,3.35134860122919,13.6350278259172,"Herpes zoster"
"24","053.1",52,22,2.41755630763395,0.000520315241063363,1.46837903374945,3.98029280332119,"Herpes zoster with nervous system complications"
"25","054",12,2,6.51301415391381,0.0142539047765482,1.45539516359995,29.1462789144883,"Herpes simplex"
"26","070",27,14,1.96026435432007,0.0410035548346782,1.02789483459531,3.73835552965958,"Viral hepatitis"
"27","070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"28","070.2",12,10,1.2177989587071,0.645418171268583,0.526094890343537,2.81894831341107,"Viral hepatitis B"
"29","070.3",127,21,6.17583905177435,1.09599930497478e-14,3.89179749628577,9.80035267246609,"Viral hepatitis C"
"30","070.4",21,7,3.0547892822085,0.0105127368294739,1.2985401771114,7.18632948227631,"Chronic hepatitis"
"31","070.9",1,0,217381565.918869,0.998964067910532,0,Inf,"Hepatitis NOS"
"32","071",12,1,12.9670902294059,0.0138687639160041,1.68436456947408,99.8272179698337,"Human immunodeficiency virus"
"33","071.1",26,10,2.62374798810991,0.00953646195608684,1.26524525468871,5.44088466611522,"HIV infection, symptomatic"
"34","078",30,31,1.03340569091811,0.898011144922623,0.625243833024305,1.70801736157294,"Viral warts & HPV"
"35","079",30,4,7.89538866812777,0.000104823994742899,2.77951875836526,22.42732200788,"Viral infection"
