"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",27,0,224230272.071582,0.994610385019329,0,Inf,"Intestinal infection"
"008.5",4,1,4.05329729729864,0.210670877318186,0.452995641169861,36.2679405432246,"Bacterial enteritis"
"008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"008.52",137,10,13.7670981772362,1.19210220656829e-15,7.24460364686249,26.1619546714255,"Intestinal infection due to C. difficile"
"008.6",3,0,224252471.321946,0.998203273853528,0,Inf,"Viral Enteritis"
"008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"010",3,0,219916129.689363,0.998204763669844,0,Inf,"Tuberculosis"
"031",5,4,1.25811263249223,0.732148659725882,0.337821067070459,4.68546088544086,"Diseases due to mycobacteria"
"031.1",0,0,NA,NA,NA,NA,"Leprosy"
"038",359,10,37.1670529291636,1.72165937518504e-29,19.8262447113347,69.6748095038644,"Septicemia"
"038.1",48,2,24.6863649193624,8.89648039727816e-06,5.99944326833903,101.578860849974,"Gram negative septicemia"
"038.2",31,1,31.5870503668229,0.000678072747650396,4.31189694069777,231.392763926948,"Gram positive septicemia"
"038.3",114,3,38.4506225549279,4.39608725351173e-10,12.2189058171728,120.996953162834,"Bacteremia"
"041",109,5,22.1955356957327,1.22089915576372e-11,9.05640305440209,54.3970715372569,"Bacterial infection NOS"
"041.1",13,0,218950195.241112,0.996263432544896,0,Inf,"Staphylococcus infections"
"041.11",15,1,15.0060457825577,0.00873016128293745,1.98220051061396,113.601731420436,"Methicillin sensitive Staphylococcus aureus"
"041.12",68,3,23.0514590216347,1.04639909547446e-07,7.25298899108977,73.2621769699204,"Methicillin resistant Staphylococcus aureus"
"041.2",24,2,12.1191018491235,0.000699723219255928,2.86413130341565,51.2799917567585,"Streptococcus infection"
"041.21",0,0,NA,NA,NA,NA,"Rheumatic fever / chorea"
"041.4",62,0,224251185.52499,0.991832481133427,0,Inf,"E. coli"
"041.8",5,2,2.6728541096039,0.240912238526151,0.516852142789588,13.8224232808005,"H. pylori"
"041.9",15,0,220093089.84022,0.995985432482567,0,Inf,"Drug-resistant infection"
"053",44,8,5.57708454159383,7.77848299583264e-06,2.62552879250424,11.8467076319578,"Herpes zoster"
"053.1",31,17,1.83494437228453,0.0443042915951263,1.01558420556293,3.31535369586844,"Herpes zoster with nervous system complications"
"054",36,12,3.12010961354876,0.000644794714864661,1.6229518111348,5.99838142683511,"Herpes simplex"
"070",32,8,4.01609633537184,0.000436149187276372,1.8506834163501,8.7151749632018,"Viral hepatitis"
"070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"070.2",13,11,1.18753539669362,0.6748347677377,0.531992285371313,2.6508661068571,"Viral hepatitis B"
"070.3",142,19,7.53427373105187,1.37745651106188e-16,4.66768741911522,12.1613286318085,"Viral hepatitis C"
"070.4",19,9,2.11124485374225,0.0647907433188836,0.955201226979591,4.66640400635535,"Chronic hepatitis"
